9042	LOVE♥SHINE		
9045	Sweet Sweet ♥ Magic		
11051	Raspberry♥Heart(English version)		
13047	Double♥♥Loving Heart		
15014			OUVERTÜRE
15061	Übertreffen		
15103	Übertreffen†		
15214		kobo vs kr:agué	
16034	Punch Love♡仮面		
17035		上野圭市(transforming into Masao♥Lovely) feat. 星野奏子	
18065	Love♥km		
20007	キャトられ♥恋はモ～モク	ギュ～っとしたい♥Prim	
20027	Präludium		
21002	旋律のドグマ～Misérables～		
21023	Atröpøs		
21030	超!!遠距離らぶ♡メ～ル		
21060	ÆTHER		
21227			OUVERTÜRE
21254	Punch Love♡仮面		
22009	表裏一体！？怪盗いいんちょの悩み♥		
23004	ギョギョっと人魚♨爆婚ブライダル		
24008	¡Viva!		
24023	焱影		
25033	Amor De Verão		
26029	Mächö Mönky		
26037		CANVAS feat. Quimär	
26070	Xlø		
26101	Geirskögul		
27083		DÉ DÉ MOUSE	
27004	Dans la nuit de l'eternite		
27035		CANVAS feat. Quimär	
28007		CANVAS feat. Quimär & BEMANI Sound Team "L.E.D.-G"	
28017	Pārvatī		
28050	POLꞰAMAИIA		
28084	Ignis†Iræ		
